key,truth,prediction
621,"{'heading': '355', 'target': 'yellow and purple commercial aircraft', 'tool': 'EMP'}","{'heading': '355', 'tool': 'air defense turrets', 'target': 'air defense turrets'}"
622,"{'heading': '135', 'target': 'grey, green, and white helicopter', 'tool': 'surface-to-air missiles'}","{'heading': '135', 'tool': 'Engage', 'target': 'Engage'}"
623,"{'heading': '055', 'target': 'silver, white, and red drone', 'tool': 'surface-to-air missiles'}","{'heading': '055', 'tool': 'Engage', 'target': 'silver, white, and red drone'}"
624,"{'heading': '170', 'target': 'black and brown helicopter', 'tool': 'electromagnetic pulse'}","{'heading': '170', 'tool': 'Attention turrets, target a black and brown helicopter at heading one seven zero. Deploy electromagnetic pulse', 'target': 'electromagnetic pulse'}"
625,"{'heading': '155', 'target': 'brown, white, and grey missile', 'tool': 'electromagnetic pulse'}","{'heading': '155', 'tool': 'Engage electromagnetic pulse', 'target': 'electromagnetic pulse, target brown, white, and grey missile'}"
626,"{'heading': '140', 'target': 'black helicopter', 'tool': 'machine gun'}","{'heading': '140', 'tool': 'deploy machine gun', 'target': 'the black helicopter'}"
627,"{'heading': '310', 'target': 'yellow, purple, and black light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '310', 'tool': 'deploy surface-to-air missiles', 'target': 'surface - to - air missiles towards three one zero'}"
628,"{'heading': '195', 'target': 'black commercial aircraft', 'tool': 'interceptor jets'}","{'heading': '15', 'tool': 'Deploy interceptor jets to heading one niner five, target black commercial aircraft', 'target': 'black commercial aircraft'}"
629,"{'heading': '260', 'target': 'purple light aircraft', 'tool': 'machine gun'}","{'heading': '260', 'tool': 'deploy machine gun', 'target': 'purple light aircraft'}"
630,"{'heading': '110', 'target': 'red, orange, and white commercial aircraft', 'tool': 'anti-air artillery'}","{'heading': '110', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
631,"{'heading': '040', 'target': 'white missile', 'tool': 'electromagnetic pulse'}","{'heading': '040', 'tool': 'electromagnetic pulse', 'target': 'white missile'}"
632,"{'heading': '270', 'target': 'orange and purple cargo aircraft', 'tool': 'anti-air artillery'}","{'heading': '27', 'tool': 'anti-air artillery', 'target': 'two seven zero, orange and purple cargo aircraft'}"
633,"{'heading': '360', 'target': 'brown and green helicopter', 'tool': 'EMP'}","{'heading': '360', 'tool': 'Deploy EMP', 'target': 'a brown and green helicopter'}"
634,"{'heading': '280', 'target': 'orange fighter jet', 'tool': 'surface-to-air missiles'}","{'heading': '280', 'tool': 'Engage surface-to-air missiles on orange fighter jet', 'target': ''}"
635,"{'heading': '055', 'target': 'brown light aircraft', 'tool': 'machine gun'}","{'heading': '055', 'tool': 'machine gun', 'target': 'brown light aircraft'}"
636,"{'heading': '100', 'target': 'black cargo aircraft', 'tool': 'interceptor jets'}","{'heading': '100', 'tool': 'Deploy interceptor jets', 'target': 'black cargo aircraft'}"
637,"{'heading': '010', 'target': 'purple camouflage fighter jet', 'tool': 'surface-to-air missiles'}","{'heading': '010', 'tool': 'turrets', 'target': 'a purple camouflage fighter jet'}"
638,"{'heading': '060', 'target': 'purple, red, and brown helicopter', 'tool': 'EMP'}","{'heading': '060', 'tool': 'deploy EMP', 'target': 'turrets, deploy EMP, heading zero six zero, engage purple, red, and brown helicopter'}"
639,"{'heading': '315', 'target': 'white, blue, and silver cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '315', 'tool': 'deploy surface-to-air missiles', 'target': 'three one five'}"
640,"{'heading': '265', 'target': 'silver and red helicopter', 'tool': 'anti-air artillery'}","{'heading': '265', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
641,"{'heading': '060', 'target': 'red and grey helicopter', 'tool': 'machine gun'}","{'heading': '060', 'tool': 'Deploy machine gun', 'target': ''}"
642,"{'heading': '315', 'target': 'silver camouflage commercial aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '315', 'tool': 'surface-to-air missiles', 'target': 'silver camouflage commercial aircraft, heading three one five. Deploy surface - to - air missiles'}"
643,"{'heading': '205', 'target': 'green helicopter', 'tool': 'machine gun'}","{'heading': '205', 'tool': 'machine gun', 'target': 'green helicopter'}"
644,"{'heading': '225', 'target': 'grey and black cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '225', 'tool': 'electromagnetic pulse', 'target': 'electromagnetic pulse'}"
645,"{'heading': '230', 'target': 'red, green, and blue fighter jet', 'tool': 'anti-air artillery'}","{'heading': '230', 'tool': 'anti-air artillery', 'target': ''}"
646,"{'heading': '155', 'target': 'white and silver fighter plane', 'tool': 'machine gun'}","{'heading': '155', 'tool': 'Control tower to turrets, deploy machine gun', 'target': 'white and silver fighter plane'}"
647,"{'heading': '065', 'target': 'brown, blue, and black drone', 'tool': 'EMP'}","{'heading': '065', 'tool': '', 'target': 'brown, blue, and black drone'}"
648,"{'heading': '055', 'target': 'red helicopter', 'tool': 'EMP'}","{'heading': '055', 'tool': 'EMP', 'target': 'red helicopter'}"
649,"{'heading': '120', 'target': 'orange, green, and blue missile', 'tool': 'EMP'}","{'heading': '120', 'tool': 'EMP', 'target': 'orange, green, and blue missile'}"
650,"{'heading': '235', 'target': 'white, orange, and yellow missile', 'tool': 'anti-air artillery'}","{'heading': '235', 'tool': 'anti-air artillery', 'target': 'white, orange, and yellow missile'}"
651,"{'heading': '175', 'target': 'grey fighter plane', 'tool': 'interceptor jets'}","{'heading': '175', 'tool': 'Deploy interceptor jets', 'target': 'grey fighter plane'}"
652,"{'heading': '150', 'target': 'orange fighter jet', 'tool': 'machine gun'}","{'heading': '150', 'tool': 'machine gun', 'target': 'orange fighter jet'}"
653,"{'heading': '330', 'target': 'black fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '330', 'tool': 'electromagnetic pulse', 'target': 'black fighter jet'}"
654,"{'heading': '275', 'target': 'silver, red, and purple fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '275', 'tool': '', 'target': 'Engage the target'}"
655,"{'heading': '045', 'target': 'white and green cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '045', 'tool': 'Control tower to air defense turrets, target heading zero four five, deploy electromagnetic pulse', 'target': 'zero four five'}"
656,"{'heading': '035', 'target': 'orange, black, and white light aircraft', 'tool': 'anti-air artillery'}","{'heading': '035', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
657,"{'heading': '295', 'target': 'yellow, white, and orange light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '25', 'tool': 'electromagnetic pulse', 'target': ''}"
658,"{'heading': '090', 'target': 'grey and green missile', 'tool': 'machine gun'}","{'heading': '00', 'tool': 'deploy the machine gun', 'target': 'zero niner zero. Engage the grey and green missile'}"
659,"{'heading': '165', 'target': 'white and red helicopter', 'tool': 'EMP'}","{'heading': '165', 'tool': 'EMP', 'target': 'white and red helicopter'}"
660,"{'heading': '245', 'target': 'green drone', 'tool': 'drone catcher'}","{'heading': '245', 'tool': 'deploy drone catcher', 'target': 'drone catcher'}"
661,"{'heading': '075', 'target': 'red, white, and purple commercial aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '075', 'tool': 'Deploy surface-to-air missiles', 'target': 'red, white, and purple commercial aircraft'}"
662,"{'heading': '095', 'target': 'orange cargo aircraft', 'tool': 'interceptor jets'}","{'heading': '05', 'tool': 'Deploy interceptor jets', 'target': 'interceptor jets'}"
663,"{'heading': '315', 'target': 'green helicopter', 'tool': 'anti-air artillery'}","{'heading': '315', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
664,"{'heading': '205', 'target': 'yellow camouflage fighter jet', 'tool': 'interceptor jets'}","{'heading': '205', 'tool': 'air defense turrets', 'target': 'yellow camouflage fighter jet'}"
665,"{'heading': '010', 'target': 'yellow, white, and silver missile', 'tool': 'EMP'}","{'heading': '010', 'tool': 'EMP', 'target': 'turrets, scramble EMP to heading zero one zero'}"
666,"{'heading': '165', 'target': 'white and green fighter plane', 'tool': 'machine gun'}","{'heading': '165', 'tool': 'Control tower', 'target': 'Control tower to turrets'}"
667,"{'heading': '020', 'target': 'blue, red, and white helicopter', 'tool': 'electromagnetic pulse'}","{'heading': '020', 'tool': 'deploy electromagnetic pulse', 'target': 'zero two zero'}"
668,"{'heading': '230', 'target': 'purple missile', 'tool': 'surface-to-air missiles'}","{'heading': '230', 'tool': 'Deploy surface-to-air missiles', 'target': 'purple missile'}"
669,"{'heading': '155', 'target': 'yellow and green fighter plane', 'tool': 'surface-to-air missiles'}","{'heading': '155', 'tool': 'Engage', 'target': 'Engage the target'}"
670,"{'heading': '170', 'target': 'white helicopter', 'tool': 'machine gun'}","{'heading': '170', 'tool': 'Deploy machine gun', 'target': 'white helicopter'}"
671,"{'heading': '005', 'target': 'silver commercial aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '005', 'tool': 'Engage', 'target': 'Turret Alpha'}"
672,"{'heading': '110', 'target': 'yellow, grey, and silver fighter plane', 'tool': 'machine gun'}","{'heading': '110', 'tool': 'deploy machine gun', 'target': 'deploy machine gun'}"
673,"{'heading': '200', 'target': 'silver and yellow missile', 'tool': 'EMP'}","{'heading': '200', 'tool': 'Deploy EMP', 'target': 'air defense turrets'}"
674,"{'heading': '005', 'target': 'green, orange, and silver commercial aircraft', 'tool': 'EMP'}","{'heading': '005', 'tool': 'EMP', 'target': 'green, orange, and silver commercial aircraft'}"
675,"{'heading': '140', 'target': 'blue and yellow fighter plane', 'tool': 'machine gun'}","{'heading': '', 'tool': 'Fire the machine gun', 'target': 'blue and yellow fighter plane'}"
676,"{'heading': '065', 'target': 'orange and blue missile', 'tool': 'anti-air artillery'}","{'heading': '06065', 'tool': 'air defense turrets', 'target': 'orange and blue missile'}"
677,"{'heading': '045', 'target': 'silver commercial aircraft', 'tool': 'EMP'}","{'heading': '045', 'tool': 'EMP', 'target': 'Control Tower to turrets'}"
678,"{'heading': '025', 'target': 'yellow and grey cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '025', 'tool': 'Control tower to air defense turrets', 'target': 'air defense turrets'}"
679,"{'heading': '155', 'target': 'orange and brown commercial aircraft', 'tool': 'interceptor jets'}","{'heading': '155', 'tool': 'Scramble interceptor jets', 'target': 'Scramble interceptor jets'}"
680,"{'heading': '150', 'target': 'white, black, and purple drone', 'tool': 'drone catcher'}","{'heading': '150', 'tool': 'drone catcher', 'target': 'Air defense turret, engage the white, black, and purple drone at heading one five zero using the drone catcher'}"
681,"{'heading': '265', 'target': 'yellow and red missile', 'tool': 'machine gun'}","{'heading': '265', 'tool': 'Deploy machine gun', 'target': 'yellow and red missile'}"
682,"{'heading': '290', 'target': 'brown camouflage helicopter', 'tool': 'machine gun'}","{'heading': '20', 'tool': 'machine gun fire', 'target': ''}"
683,"{'heading': '320', 'target': 'red and grey camouflage cargo aircraft', 'tool': 'EMP'}","{'heading': '32', 'tool': 'EMP', 'target': 'EMP on red and grey camouflage cargo aircraft at heading three two zero. Over'}"
684,"{'heading': '085', 'target': 'silver commercial aircraft', 'tool': 'EMP'}","{'heading': '085', 'tool': 'Engage', 'target': 'silver commercial aircraft'}"
685,"{'heading': '300', 'target': 'yellow cargo aircraft', 'tool': 'EMP'}","{'heading': '300', 'tool': 'Deploy EMP tool', 'target': 'Over'}"
686,"{'heading': '040', 'target': 'yellow, orange, and silver cargo aircraft', 'tool': 'EMP'}","{'heading': '040', 'tool': 'EMP', 'target': 'EMP'}"
687,"{'heading': '255', 'target': 'grey, purple, and yellow drone', 'tool': 'anti-air artillery'}","{'heading': '255', 'tool': 'anti-air artillery', 'target': 'a grey, purple, and yellow drone'}"
688,"{'heading': '190', 'target': 'brown and orange helicopter', 'tool': 'EMP'}","{'heading': '1', 'tool': 'Deploy EMP', 'target': 'EMP'}"
689,"{'heading': '115', 'target': 'brown, black, and purple helicopter', 'tool': 'EMP'}","{'heading': '115', 'tool': 'air defense turrets, heading one one five. Deploy EMP', 'target': 'air defense turrets'}"
690,"{'heading': '095', 'target': 'yellow drone', 'tool': 'drone catcher'}","{'heading': '05', 'tool': 'Control to turret', 'target': 'yellow drone'}"
691,"{'heading': '285', 'target': 'black and purple drone', 'tool': 'drone catcher'}","{'heading': '285', 'tool': 'drone catcher', 'target': 'black and purple drone'}"
692,"{'heading': '150', 'target': 'white and purple fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '150', 'tool': 'electromagnetic pulse', 'target': 'white and purple fighter plane'}"
693,"{'heading': '160', 'target': 'red and silver helicopter', 'tool': 'EMP'}","{'heading': '160', 'tool': 'Deploy EMP', 'target': 'red and silver helicopter'}"
694,"{'heading': '280', 'target': 'blue and silver cargo aircraft', 'tool': 'EMP'}","{'heading': '280', 'tool': 'Engage', 'target': 'Engage'}"
695,"{'heading': '115', 'target': 'silver helicopter', 'tool': 'surface-to-air missiles'}","{'heading': '115', 'tool': 'surface-to-air missiles', 'target': 'silver helicopter'}"
696,"{'heading': '200', 'target': 'brown and green fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '200', 'tool': 'turrets', 'target': 'two zero zero'}"
697,"{'heading': '145', 'target': 'white commercial aircraft', 'tool': 'EMP'}","{'heading': '145', 'tool': 'Deploy EMP', 'target': 'white commercial aircraft'}"
698,"{'heading': '220', 'target': 'brown fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '220', 'tool': 'electromagnetic pulse', 'target': 'electromagnetic pulse on brown fighter plane'}"
699,"{'heading': '035', 'target': 'silver and green light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '035', 'tool': 'Fire surface-to-air missiles', 'target': 'silver and green light aircraft'}"
700,"{'heading': '250', 'target': 'blue and white fighter plane', 'tool': 'anti-air artillery'}","{'heading': '250', 'tool': 'anti-air artillery', 'target': 'the blue and white fighter plane'}"
701,"{'heading': '055', 'target': 'red, yellow, and brown missile', 'tool': 'EMP'}","{'heading': '055', 'tool': 'EMP', 'target': 'zero five five'}"
702,"{'heading': '260', 'target': 'orange, red, and purple light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '260', 'tool': 'Mobilize and deploy electromagnetic pulse', 'target': 'air defense turrets'}"
703,"{'heading': '180', 'target': 'grey and blue fighter jet', 'tool': 'machine gun'}","{'heading': '18', 'tool': 'deploy machine gun', 'target': 'one eight zero, deploy machine gun'}"
704,"{'heading': '050', 'target': 'grey missile', 'tool': 'surface-to-air missiles'}","{'heading': '050', 'tool': 'grey missile', 'target': 'grey missile'}"
705,"{'heading': '180', 'target': 'orange, green, and purple fighter plane', 'tool': 'anti-air artillery'}","{'heading': '180', 'tool': '', 'target': 'turrets'}"
706,"{'heading': '350', 'target': 'green, red, and white fighter jet', 'tool': 'machine gun'}","{'heading': '350', 'tool': 'machine gun', 'target': 'machine gun'}"
707,"{'heading': '360', 'target': 'green light aircraft', 'tool': 'anti-air artillery'}","{'heading': '360', 'tool': 'anti-air artillery', 'target': 'green light aircraft'}"
708,"{'heading': '145', 'target': 'yellow helicopter', 'tool': 'anti-air artillery'}","{'heading': '145', 'tool': 'Control tower to air defense turrets, deploy anti-air artillery', 'target': 'yellow helicopter'}"
709,"{'heading': '145', 'target': 'brown, green, and black helicopter', 'tool': 'machine gun'}","{'heading': '145', 'tool': 'machine gun', 'target': 'one four five with machine gun'}"
710,"{'heading': '160', 'target': 'yellow cargo aircraft', 'tool': 'EMP'}","{'heading': '160', 'tool': 'EMP', 'target': ''}"
711,"{'heading': '010', 'target': 'grey and silver camouflage cargo aircraft', 'tool': 'EMP'}","{'heading': '010', 'tool': 'deploy EMP', 'target': 'grey and silver camouflage cargo aircraft'}"
712,"{'heading': '340', 'target': 'blue, black, and yellow light aircraft', 'tool': 'EMP'}","{'heading': '340', 'tool': 'EMP', 'target': 'Turret Bravo'}"
713,"{'heading': '125', 'target': 'red and blue drone', 'tool': 'machine gun'}","{'heading': '125', 'tool': 'Air defense turret, engage the target of the red and blue drone at heading one two five, deploy the machine gun', 'target': 'red and blue drone'}"
714,"{'heading': '200', 'target': 'orange and white fighter jet', 'tool': 'EMP'}","{'heading': '200', 'tool': 'EMP', 'target': 'Deploy EMP'}"
715,"{'heading': '290', 'target': 'brown, silver, and blue cargo aircraft', 'tool': 'anti-air artillery'}","{'heading': '20', 'tool': 'anti-air artillery', 'target': 'brown, silver, and blue cargo aircraft'}"
716,"{'heading': '095', 'target': 'white and purple helicopter', 'tool': 'anti-air artillery'}","{'heading': '05', 'tool': 'Control tower to turrets, deploy anti-air artillery', 'target': 'Control tower to turrets, deploy anti - air artillery'}"
717,"{'heading': '175', 'target': 'orange and black helicopter', 'tool': 'EMP'}","{'heading': '175', 'tool': 'Ready turret', 'target': 'EMP'}"
718,"{'heading': '315', 'target': 'green and white light aircraft', 'tool': 'EMP'}","{'heading': '315', 'tool': 'Deploy EMP', 'target': 'Deploy EMP'}"
719,"{'heading': '335', 'target': 'black, purple, and white fighter jet', 'tool': 'machine gun'}","{'heading': '335', 'tool': 'machine gun', 'target': 'fighter jet'}"
720,"{'heading': '120', 'target': 'black fighter jet', 'tool': 'interceptor jets'}","{'heading': '120', 'tool': 'Deploy interceptor jets', 'target': 'black fighter jet'}"
721,"{'heading': '085', 'target': 'yellow and orange camouflage light aircraft', 'tool': 'EMP'}","{'heading': '085', 'tool': '', 'target': 'a yellow and orange camouflage light aircraft'}"
722,"{'heading': '140', 'target': 'brown, white, and grey fighter plane', 'tool': 'anti-air artillery'}","{'heading': '', 'tool': 'anti-air artillery', 'target': ''}"
723,"{'heading': '060', 'target': 'silver, red, and brown drone', 'tool': 'machine gun'}","{'heading': '060', 'tool': 'machine gun', 'target': 'Engage target, silver, red, and brown drone'}"
724,"{'heading': '040', 'target': 'white, yellow, and orange light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '040', 'tool': '', 'target': 'white, yellow, and orange light aircraft'}"
725,"{'heading': '155', 'target': 'orange, brown, and black fighter plane', 'tool': 'surface-to-air missiles'}","{'heading': '155', 'tool': 'Defensive measures', 'target': 'orange, brown, and black fighter plane'}"
726,"{'heading': '100', 'target': 'green and grey fighter plane', 'tool': 'surface-to-air missiles'}","{'heading': '100', 'tool': 'Engage', 'target': 'Engage'}"
727,"{'heading': '305', 'target': 'brown camouflage cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '305', 'tool': 'surface-to-air missiles', 'target': 'surface - to - air missiles'}"
728,"{'heading': '160', 'target': 'red and purple fighter jet', 'tool': 'anti-air artillery'}","{'heading': '160', 'tool': 'anti-air artillery', 'target': 'a red and purple fighter jet'}"
729,"{'heading': '080', 'target': 'black, white, and blue drone', 'tool': 'drone catcher'}","{'heading': '080', 'tool': 'turrets, we have a target heading zero eight zero. Deploy the drone catcher', 'target': 'zero eight zero'}"
730,"{'heading': '130', 'target': 'green and yellow commercial aircraft', 'tool': 'EMP'}","{'heading': '130', 'tool': 'Deploy EMP', 'target': 'Air defense turret, target the green and yellow commercial aircraft at one three zero heading. Deploy EMP'}"
731,"{'heading': '260', 'target': 'silver missile', 'tool': 'EMP'}","{'heading': '260', 'tool': 'Deploy EMP', 'target': 'silver missile'}"
732,"{'heading': '185', 'target': 'yellow and brown fighter jet', 'tool': 'anti-air artillery'}","{'heading': '185', 'tool': '', 'target': 'yellow and brown fighter jet'}"
733,"{'heading': '310', 'target': 'white camouflage helicopter', 'tool': 'surface-to-air missiles'}","{'heading': '310', 'tool': 'Launch at will', 'target': 'Target locked'}"
734,"{'heading': '160', 'target': 'blue, orange, and grey commercial aircraft', 'tool': 'anti-air artillery'}","{'heading': '160', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
735,"{'heading': '040', 'target': 'red, black, and silver drone', 'tool': 'anti-air artillery'}","{'heading': '040', 'tool': 'anti-air artillery', 'target': 'zero four zero. Engage the red, black, and silver drone'}"
736,"{'heading': '200', 'target': 'grey, red, and blue drone', 'tool': 'drone catcher'}","{'heading': '200', 'tool': 'Deploy drone catcher', 'target': 'two zero zero'}"
737,"{'heading': '210', 'target': 'silver cargo aircraft', 'tool': 'EMP'}","{'heading': '210', 'tool': 'EMP', 'target': 'silver cargo aircraft'}"
738,"{'heading': '160', 'target': 'purple helicopter', 'tool': 'anti-air artillery'}","{'heading': '160', 'tool': 'anti-air artillery', 'target': 'purple helicopter'}"
739,"{'heading': '120', 'target': 'purple fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '120', 'tool': 'electromagnetic pulse', 'target': 'electromagnetic pulse'}"
740,"{'heading': '070', 'target': 'grey, brown, and silver missile', 'tool': 'electromagnetic pulse'}","{'heading': '070', 'tool': 'Deploy electromagnetic pulse', 'target': 'electromagnetic pulse'}"
741,"{'heading': '280', 'target': 'black and brown missile', 'tool': 'machine gun'}","{'heading': '280', 'tool': '', 'target': 'Engage black and brown missile'}"
742,"{'heading': '315', 'target': 'silver and brown commercial aircraft', 'tool': 'EMP'}","{'heading': '315', 'tool': 'EMP', 'target': 'silver and brown commercial aircraft'}"
743,"{'heading': '135', 'target': 'purple and white fighter plane', 'tool': 'EMP'}","{'heading': '135', 'tool': 'EMP', 'target': 'Engage target, purple and white fighter plane'}"
744,"{'heading': '165', 'target': 'orange and green light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '16', 'tool': 'deploy surface-to-air missiles', 'target': 'surface - to - air missiles'}"
745,"{'heading': '280', 'target': 'red, orange, and yellow light aircraft', 'tool': 'machine gun'}","{'heading': '280', 'tool': 'deploy machine gun', 'target': 'Turret Bravo, deploy machine gun on the red, orange, and yellow light aircraft heading two eight zero'}"
746,"{'heading': '305', 'target': 'green, blue, and orange fighter plane', 'tool': 'anti-air artillery'}","{'heading': '305', 'tool': 'anti-air artillery deployment', 'target': 'green, blue, and orange fighter planes'}"
747,"{'heading': '300', 'target': 'black, brown, and white helicopter', 'tool': 'electromagnetic pulse'}","{'heading': '300', 'tool': '', 'target': 'Fire the electromagnetic pulse'}"
748,"{'heading': '245', 'target': 'yellow and red light aircraft', 'tool': 'machine gun'}","{'heading': '245', 'tool': 'deploy machine gun', 'target': 'yellow and red light aircraft'}"
749,"{'heading': '025', 'target': 'green commercial aircraft', 'tool': 'anti-air artillery'}","{'heading': '025', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
750,"{'heading': '060', 'target': 'blue, black, and yellow missile', 'tool': 'surface-to-air missiles'}","{'heading': '060', 'tool': 'Deploy surface-to-air missiles', 'target': 'zero six zero'}"
751,"{'heading': '070', 'target': 'yellow light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '070', 'tool': 'surface-to-air missiles', 'target': 'yellow light aircraft'}"
752,"{'heading': '125', 'target': 'brown light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '125', 'tool': 'electromagnetic pulse', 'target': 'brown light aircraft'}"
753,"{'heading': '160', 'target': 'white fighter jet', 'tool': 'surface-to-air missiles'}","{'heading': '160', 'tool': 'surface-to-air missiles', 'target': 'white fighter jet'}"
754,"{'heading': '130', 'target': 'brown, purple, and orange cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '130', 'tool': 'electromagnetic pulse', 'target': ''}"
755,"{'heading': '130', 'target': 'red, orange, and yellow light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '130', 'tool': 'deploy electromagnetic pulse', 'target': 'red, orange, and yellow light aircraft'}"
756,"{'heading': '215', 'target': 'green and grey cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '215', 'tool': 'Deploy surface-to-air missiles', 'target': ''}"
757,"{'heading': '240', 'target': 'orange fighter plane', 'tool': 'machine gun'}","{'heading': '24', 'tool': 'deploy machine gun', 'target': 'orange fighter plane'}"
758,"{'heading': '100', 'target': 'orange and red drone', 'tool': 'drone catcher'}","{'heading': '100', 'tool': 'drone catcher', 'target': 'drone catcher'}"
759,"{'heading': '295', 'target': 'green, yellow, and brown commercial aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '25', 'tool': 'strike', 'target': 'strike'}"
760,"{'heading': '205', 'target': 'brown, blue, and grey fighter jet', 'tool': 'surface-to-air missiles'}","{'heading': '205', 'tool': 'Engage', 'target': 'Engage'}"
761,"{'heading': '190', 'target': 'silver, blue, and white missile', 'tool': 'surface-to-air missiles'}","{'heading': '10', 'tool': 'surface-to-air missiles', 'target': 'a silver, blue, and white missile'}"
762,"{'heading': '095', 'target': 'purple and green drone', 'tool': 'EMP'}","{'heading': '05', 'tool': 'Deploy EMP', 'target': 'purple and green drone'}"
763,"{'heading': '185', 'target': 'black, white, and purple fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '185', 'tool': 'electromagnetic pulse', 'target': 'Turret Foxtrot, electromagnetic pulse, engage the black, white, and purple fighter jet'}"
764,"{'heading': '360', 'target': 'blue and grey cargo aircraft', 'tool': 'EMP'}","{'heading': '360', 'tool': 'Deploy EMP', 'target': 'blue and grey cargo aircraft'}"
765,"{'heading': '150', 'target': 'yellow, green, and brown cargo aircraft', 'tool': 'EMP'}","{'heading': '150', 'tool': 'EMP', 'target': 'EMP'}"
766,"{'heading': '215', 'target': 'grey and red light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '215', 'tool': 'electromagnetic pulse', 'target': 'grey and red light aircraft'}"
767,"{'heading': '310', 'target': 'red and yellow cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '310', 'tool': 'electromagnetic pulse', 'target': 'red and yellow cargo aircraft'}"
768,"{'heading': '055', 'target': 'orange, blue, and black drone', 'tool': 'drone catcher'}","{'heading': '055', 'tool': 'deploy drone catcher', 'target': 'an orange, blue, and black drone'}"
769,"{'heading': '120', 'target': 'blue and grey fighter plane', 'tool': 'EMP'}","{'heading': '120', 'tool': 'Deploy EMP', 'target': 'blue and grey fighter plane'}"
770,"{'heading': '360', 'target': 'silver and grey fighter plane', 'tool': 'interceptor jets'}","{'heading': '360', 'tool': 'air defense turrets', 'target': 'a silver and grey fighter plane'}"
771,"{'heading': '290', 'target': 'orange, white, and silver missile', 'tool': 'EMP'}","{'heading': '20', 'tool': 'EMP', 'target': 'EMP'}"
772,"{'heading': '255', 'target': 'red and black helicopter', 'tool': 'machine gun'}","{'heading': '255', 'tool': 'deploy machine gun', 'target': 'red and black helicopter'}"
773,"{'heading': '090', 'target': 'grey and white missile', 'tool': 'anti-air artillery'}","{'heading': '00', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
774,"{'heading': '155', 'target': 'white and brown helicopter', 'tool': 'surface-to-air missiles'}","{'heading': '155', 'tool': '', 'target': 'the white and brown helicopter'}"
775,"{'heading': '200', 'target': 'blue and silver light aircraft', 'tool': 'machine gun'}","{'heading': '200', 'tool': 'Deploy machine gun', 'target': 'blue and silver light aircraft'}"
776,"{'heading': '275', 'target': 'white and silver light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '275', 'tool': 'electromagnetic pulse', 'target': 'a white and silver light aircraft'}"
777,"{'heading': '320', 'target': 'orange fighter jet', 'tool': 'machine gun'}","{'heading': '320', 'tool': 'machine gun', 'target': 'orange fighter jet'}"
778,"{'heading': '280', 'target': 'blue and white light aircraft', 'tool': 'anti-air artillery'}","{'heading': '280', 'tool': '', 'target': 'a blue and white light aircraft'}"
779,"{'heading': '010', 'target': 'orange commercial aircraft', 'tool': 'anti-air artillery'}","{'heading': '010', 'tool': 'anti-air artillery', 'target': 'orange commercial aircraft'}"
780,"{'heading': '055', 'target': 'white cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '055', 'tool': 'surface-to-air missiles', 'target': 'surface - to - air missiles'}"
781,"{'heading': '350', 'target': 'purple helicopter', 'tool': 'machine gun'}","{'heading': '350', 'tool': 'machine gun', 'target': 'purple helicopter'}"
782,"{'heading': '250', 'target': 'blue, yellow, and purple fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '250', 'tool': 'electromagnetic pulse', 'target': 'Turret Bravo'}"
